City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Lahaina,US,20.8783,-156.6825,75.2,88,100,9.13,overcast clouds
241,Placido De Castro,BR,-10.3353,-67.1856,93.49,41,87,2.06,overcast clouds
242,Matamoros,MX,25.5333,-103.25,87.91,9,0,5.75,clear sky
243,Pathein,MM,16.7833,94.7333,80.38,80,71,3.42,broken clouds
244,Borogontsy,RU,62.6683,131.1683,21.04,95,27,3.96,scattered clouds
245,Palmas,BR,-10.2128,-48.3603,91.27,52,40,8.05,scattered clouds
246,Arkhangelsk,RU,64.5401,40.5433,32.11,74,100,8.95,overcast clouds
247,Pasewalk,DE,53.5063,13.99,55.54,70,100,6.35,overcast clouds
248,Concepcion De Guasistagua,HN,14.6,-87.65,92.84,45,24,1.97,few clouds
249,Geraldton,AU,-28.7667,114.6,57.61,67,0,1.14,clear sky
250,Maneadero,MX,31.7167,-116.5667,67.1,74,54,3.0,broken clouds
251,Mitu,CO,1.1983,-70.1733,78.53,77,100,2.89,overcast clouds
252,Paamiut,GL,61.994,-49.6678,31.86,89,88,17.07,overcast clouds
253,Kirkcudbright,GB,54.8383,-4.0491,47.97,95,100,13.42,moderate rain
254,Sitka,US,57.0531,-135.33,48.09,61,0,6.91,clear sky
255,Adrar,MR,20.5022,-10.0711,92.91,7,0,7.43,clear sky
256,Buchanan,LR,5.8808,-10.0467,81.91,80,68,6.38,moderate rain
257,Yashan,CN,22.1975,109.9419,73.15,95,100,3.78,moderate rain
258,Fairbanks,US,64.8378,-147.7164,48.97,41,0,5.75,clear sky
259,Xichang,CN,27.8964,102.2634,49.26,88,98,8.32,overcast clouds
260,Yulara,AU,-25.2406,130.9889,62.04,52,98,15.46,overcast clouds
261,Jamuria,IN,23.7,87.0833,78.4,78,40,5.75,mist
262,Bairiki,KI,1.3292,172.9752,78.8,89,75,8.05,broken clouds
263,Taoudenni,ML,22.6783,-3.9836,92.66,10,0,8.63,clear sky
264,Brigantine,US,39.4101,-74.3646,68.2,35,0,4.03,clear sky
265,Harper,LR,4.375,-7.7169,82.63,74,93,6.49,overcast clouds
266,Hvide Sande,DK,56.0045,8.1294,49.08,75,12,8.81,few clouds
267,Ancud,CL,-41.8697,-73.8203,51.22,74,52,5.79,broken clouds
268,Faanui,PF,-16.4833,-151.75,80.91,73,28,17.31,scattered clouds
269,Kholmogory,RU,64.2229,41.656,23.88,95,91,2.53,overcast clouds
270,Manta,EC,-0.95,-80.7333,81.43,66,56,12.1,broken clouds
271,Nago,JP,26.5881,127.9761,70.23,76,100,10.04,overcast clouds
272,Dekar,BW,-21.5333,21.9333,71.65,38,75,6.49,broken clouds
273,Khandyga,RU,62.6667,135.6,16.48,97,51,3.0,broken clouds
274,Christchurch,NZ,-43.5333,172.6333,55.47,88,10,2.3,clear sky
275,Voh,NC,-20.9667,164.7,69.46,89,4,3.96,clear sky
276,Half Moon Bay,US,37.4636,-122.4286,72.91,69,20,27.63,few clouds
277,Ferrol,ES,43.4832,-8.2369,70.23,76,13,8.16,few clouds
278,Destin,US,30.3935,-86.4958,80.44,78,100,16.11,overcast clouds
279,Vokhma,RU,58.9303,46.7586,29.73,95,98,4.41,light snow
280,Kannangad,IN,12.3081,75.1063,83.39,80,97,4.05,overcast clouds
281,Bagua Grande,PE,-5.7561,-78.4411,79.65,76,100,4.32,light rain
282,Sorong,ID,-0.8833,131.25,79.61,85,100,5.06,moderate rain
283,Grindavik,IS,63.8424,-22.4338,45.07,81,100,14.97,overcast clouds
284,Asfi,MA,32.2994,-9.2372,67.03,68,100,14.09,overcast clouds
285,Nabire,ID,-3.3667,135.4833,75.43,92,76,3.24,broken clouds
286,Lakes Entrance,AU,-37.8811,147.981,45.16,70,9,8.81,clear sky
287,Mutare,ZW,-18.9707,32.6709,57.38,69,2,2.21,clear sky
288,Antalaha,MG,-14.9003,50.2788,74.35,89,24,6.08,few clouds
289,Sciacca,IT,37.5082,13.0881,64.04,73,90,3.91,overcast clouds
290,Lompoc,US,34.6391,-120.4579,80.85,55,0,21.99,clear sky
291,Marystown,CA,47.1666,-55.1483,44.94,83,100,5.91,overcast clouds
292,Faya,SA,18.3851,42.4509,63.12,39,13,7.65,few clouds
293,Mattru,SL,7.6244,-11.8332,84.34,68,92,7.2,light rain
294,Caravelas,BR,-17.7125,-39.2481,80.91,64,12,7.58,few clouds
295,Perth,AU,-31.9333,115.8333,59.67,81,0,3.44,clear sky
