City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Bandarbeyla,SO,2022-04-26 19:30:53,9.4942,50.8122,81.81,76,5,7.45
273,Cayenne,GF,2022-04-26 19:30:53,4.9333,-52.3333,87.84,1,0,12.66
274,Tigil,RU,2022-04-26 19:31:54,57.8,158.6667,28.0,96,99,6.6
275,Phangnga,TH,2022-04-26 19:31:55,8.4509,98.5298,77.04,92,98,2.91
276,Vardo,NO,2022-04-26 19:31:55,70.3705,31.1107,17.58,86,75,32.21
277,Martapura,ID,2022-04-26 19:31:56,-3.4167,114.85,75.29,100,75,4.61
278,Lebu,CL,2022-04-26 19:31:57,-37.6167,-73.65,52.29,80,6,9.82
279,Faanui,PF,2022-04-26 19:29:11,-16.4833,-151.75,82.54,73,23,20.71
280,Qandala,SO,2022-04-26 19:31:58,11.472,49.8728,86.34,58,5,8.01
281,Berlevag,NO,2022-04-26 19:31:58,70.8578,29.0864,19.2,78,100,33.2
282,Tazovskiy,RU,2022-04-26 19:31:59,67.4667,78.7,21.83,96,100,11.81
283,Black River,JM,2022-04-26 19:31:59,18.0264,-77.8487,81.3,68,89,3.36
284,Primorsko,BG,2022-04-26 19:32:00,42.2667,27.7667,59.22,77,56,0.85
285,Kavaratti,IN,2022-04-26 19:32:00,10.5669,72.642,85.03,74,32,7.27
286,Saint-Paul,RE,2022-04-26 19:32:01,-21.0096,55.2707,75.29,76,3,0.45
287,Saint-Pierre,RE,2022-04-26 19:29:06,-21.3393,55.4781,73.29,73,0,4.61
288,Iralaya,HN,2022-04-26 19:32:02,15.0,-83.2333,80.67,83,97,10.65
289,Rovaniemi,FI,2022-04-26 19:27:46,66.5,25.7167,27.81,46,0,9.22
290,Pachmarhi,IN,2022-04-26 19:32:03,22.4667,78.4333,77.83,17,1,4.38
291,Challapata,BO,2022-04-26 19:32:04,-18.9,-66.7667,58.55,11,17,5.66
292,Tura,IN,2022-04-26 19:32:05,25.5198,90.2201,73.63,82,0,5.19
293,Kavieng,PG,2022-04-26 19:32:05,-2.5744,150.7967,82.96,77,4,14.2
